2015-12-15 05:48:02 status installed libpolkit-agent-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 configure libpolkit-backend-1-0:armhf 0.105-8ubuntu2 <none>
2015-12-15 05:48:02 status unpacked libpolkit-backend-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status half-configured libpolkit-backend-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status installed libpolkit-backend-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 configure libproxy1:armhf 0.4.11-4ubuntu2 <none>
2015-12-15 05:48:02 status unpacked libproxy1:armhf 0.4.11-4ubuntu2
2015-12-15 05:48:02 status half-configured libproxy1:armhf 0.4.11-4ubuntu2
2015-12-15 05:48:02 status installed libproxy1:armhf 0.4.11-4ubuntu2
2015-12-15 05:48:02 configure glib-networking-common:all 2.44.0-1 <none>
2015-12-15 05:48:02 status unpacked glib-networking-common:all 2.44.0-1
2015-12-15 05:48:02 status half-configured glib-networking-common:all 2.44.0-1
2015-12-15 05:48:02 status installed glib-networking-common:all 2.44.0-1
2015-12-15 05:48:02 configure glib-networking-services:armhf 2.44.0-1 <none>
2015-12-15 05:48:02 status unpacked glib-networking-services:armhf 2.44.0-1
2015-12-15 05:48:02 status half-configured glib-networking-services:armhf 2.44.0-1
2015-12-15 05:48:02 status installed glib-networking-services:armhf 2.44.0-1
2015-12-15 05:48:02 configure dconf-service:armhf 0.22.0-1 <none>
2015-12-15 05:48:02 status unpacked dconf-service:armhf 0.22.0-1
2015-12-15 05:48:02 status half-configured dconf-service:armhf 0.22.0-1
2015-12-15 05:48:02 status installed dconf-service:armhf 0.22.0-1
2015-12-15 05:48:02 configure dconf-gsettings-backend:armhf 0.22.0-1 <none>
2015-12-15 05:48:02 status unpacked dconf-gsettings-backend:armhf 0.22.0-1
2015-12-15 05:48:02 status half-configured dconf-gsettings-backend:armhf 0.22.0-1
2015-12-15 05:48:02 status installed dconf-gsettings-backend:armhf 0.22.0-1
2015-12-15 05:48:02 configure gsettings-desktop-schemas:all 3.14.1-1ubuntu2 <none>
2015-12-15 05:48:02 status unpacked gsettings-desktop-schemas:all 3.14.1-1ubuntu2
2015-12-15 05:48:02 status half-configured gsettings-desktop-schemas:all 3.14.1-1ubuntu2
2015-12-15 05:48:02 status installed gsettings-desktop-schemas:all 3.14.1-1ubuntu2
2015-12-15 05:48:02 configure glib-networking:armhf 2.44.0-1 <none>
2015-12-15 05:48:02 status unpacked glib-networking:armhf 2.44.0-1
2015-12-15 05:48:02 status half-configured glib-networking:armhf 2.44.0-1
2015-12-15 05:48:02 status installed glib-networking:armhf 2.44.0-1
2015-12-15 05:48:02 configure libsoup2.4-1:armhf 2.49.92-1 <none>
2015-12-15 05:48:02 status unpacked libsoup2.4-1:armhf 2.49.92-1
2015-12-15 05:48:02 status half-configured libsoup2.4-1:armhf 2.49.92-1
2015-12-15 05:48:02 status installed libsoup2.4-1:armhf 2.49.92-1
2015-12-15 05:48:02 configure libmnl0:armhf 1.0.3-5 <none>
2015-12-15 05:48:02 status unpacked libmnl0:armhf 1.0.3-5
2015-12-15 05:48:02 status half-configured libmnl0:armhf 1.0.3-5
2015-12-15 05:48:02 status installed libmnl0:armhf 1.0.3-5
2015-12-15 05:48:02 configure libnetfilter-conntrack3:armhf 1.0.4-1 <none>
2015-12-15 05:48:02 status unpacked libnetfilter-conntrack3:armhf 1.0.4-1
2015-12-15 05:48:02 status half-configured libnetfilter-conntrack3:armhf 1.0.4-1
2015-12-15 05:48:02 status installed libnetfilter-conntrack3:armhf 1.0.4-1
2015-12-15 05:48:02 configure dnsmasq-base:armhf 2.72-3 <none>
2015-12-15 05:48:02 status unpacked dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:02 status triggers-pending dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:02 status unpacked dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:02 status unpacked dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:02 status half-configured dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:02 status triggers-awaited dnsmasq-base:armhf 2.72-3
